"level";"message";"time"
"minor";"At 71st St/Exit 13 - Construction work";"2022-03-17 0:51:43"
"minor";"At 71st St/Exit 13 - Construction work";"2022-03-17 0:51:43"
"minor";"At 71st St/Exit 13 - Construction work";"2022-03-17 0:51:43"
"minor";"At 71st St/Exit 13 - Construction work";"2022-03-17 0:51:43"
