name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
burchinal,2019-01-01,-7.6,-16.2,-13,-14.2,-26.5,-20.1,-15,84.52,0,,0,,0,3,50.3,32.6,301.5,1028.8,29.4,15.4,242.1,8.7,4,,2019-01-01T07:44:47,2019-01-01T16:48:44,0.91,Partially cloudy,Becoming cloudy in the afternoon.,wind,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2019-01-02,-2.6,-14.1,-7.2,-8.6,-19.2,-13.6,-10.1,80.08,0,,0,,0,3,49.7,31.9,224,1018.6,53.3,16,179.7,6.5,5,,2019-01-02T07:44:50,2019-01-02T16:49:37,0.95,Partially cloudy,Partly cloudy throughout the day.,wind,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2019-01-03,5.1,-6.2,-0.3,1.8,-12.1,-5.2,-3.9,77.61,0,,0,,0,3,53.6,26.4,224.2,1012.5,0,16,232.5,8.4,4,,2019-01-03T07:44:51,2019-01-03T16:50:33,0.97,Clear,Clear conditions throughout the day.,clear-day,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2019-01-04,8.4,-2.9,2.5,5.9,-6.9,-1,-0.6,80.61,0,,0,,0,1,,27.6,260,1008.5,0,16,241.5,8.7,4,,2019-01-04T07:44:50,2019-01-04T16:51:29,0.99,Clear,Clear conditions throughout the day.,clear-day,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2019-01-05,10,-3,2.4,7.3,-7.5,-1.5,-0.4,83.58,0,,0,,0,0,,22.1,290.2,1013.7,0,16,247.6,8.9,4,,2019-01-05T07:44:46,2019-01-05T16:52:28,1,Clear,Clear conditions throughout the day.,clear-day,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2019-01-06,2.3,-3.5,0.4,-4.2,-7.5,-5.5,-0.5,94.27,0.01,,4.17,,0,0,76.2,53.5,99.2,1016.1,42.7,15.7,81.2,2.9,2,,2019-01-06T07:44:40,2019-01-06T16:53:28,0,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2019-01-07,6.1,1.6,3.5,2.8,-3.2,-0.9,2.9,95.45,0,,0,,0,0,56.2,34.3,229.5,1002.9,67.7,13.2,57.6,2.1,1,,2019-01-07T07:44:31,2019-01-07T16:54:29,0.01,Partially cloudy,Partly cloudy throughout the day.,wind,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2019-01-08,3.3,-8.1,-1.2,0.1,-18.9,-8.1,-4.7,77.8,0,,0,,0,0,81.4,55.1,282.8,1016.4,32.7,16,175.6,6.3,4,,2019-01-08T07:44:20,2019-01-08T16:55:32,0.03,Partially cloudy,Partly cloudy throughout the day.,wind,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2019-01-09,-7.7,-13.6,-10.7,-16.3,-25.3,-20.2,-15.1,70.26,0,,0,,0,0,62.6,45.3,307.8,1031.5,10.9,16,258.2,9.3,5,,2019-01-09T07:44:06,2019-01-09T16:56:36,0.05,Clear,Clear conditions throughout the day.,wind,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2019-01-10,-2.5,-11.6,-7.5,-7.6,-18.3,-13.3,-11.1,75.66,0,,0,,0,0,,23.8,108.3,1029.1,1.6,16,258,9.3,5,,2019-01-10T07:43:50,2019-01-10T16:57:42,0.08,Clear,Clear conditions throughout the day.,clear-day,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2019-01-11,-0.6,-7.6,-3.5,-4.3,-13.5,-8.3,-6.1,82.66,0,,0,,0,0,,20.1,138,1023.6,57.9,16,129.8,4.7,3,,2019-01-11T07:43:32,2019-01-11T16:58:49,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
